,Ticker,Name,Exchange,Category Name,Country,Unnamed: 5,Unnamed: 6
0,OEDV,"Osage Exploration and Development, Inc.",PNK,,USA,,
1,AAPL,Apple Inc.,NMS,Electronic Equipment,USA,,
2,BAC,Bank of America Corporation,NYQ,Money Center Banks,USA,,
3,AMZN,"Amazon.com, Inc.",NMS,Catalog & Mail Order Houses,USA,,
4,T,AT&T Inc.,NYQ,Telecom Services - Domestic,USA,,
5,GOOG,Alphabet Inc.,NMS,Internet Information Providers,USA,,
6,MO,"Altria Group, Inc.",NYQ,Cigarettes,USA,,
7,DAL,"Delta Air Lines, Inc.",NYQ,Major Airlines,USA,,
8,AA,Alcoa Corporation,NYQ,Aluminum,USA,,
9,AXP,American Express Company,NYQ,Credit Services,USA,,
10,DD,E. I. du Pont de Nemours and Company,NYQ,Agricultural Chemicals,USA,,
11,BABA,Alibaba Group Holding Limited,NYQ,"Specialty Retail, Other",USA,,
12,ABT,Abbott Laboratories,NYQ,Medical Appliances & Equipment,USA,,
13,UA,"Under Armour, Inc.",NYQ,Textile - Apparel Clothing,USA,,
14,AMAT,"Applied Materials, Inc.",NMS,Semiconductor Equipment & Materials,USA,,
15,AMGN,Amgen Inc.,NMS,Biotechnology,USA,,
16,AAL,American Airlines Group Inc.,NMS,Major Airlines,USA,,
17,AIG,"American International Group, Inc.",NYQ,Property & Casualty Insurance,USA,,
18,ALL,The Allstate Corporation,NYQ,Property & Casualty Insurance,USA,,
19,ADBE,Adobe Systems Incorporated,NMS,Application Software,USA,,
20,GOOGL,Alphabet Inc.,NMS,Internet Information Providers,USA,,
21,ACN,Accenture plc,NYQ,Information Technology Services,USA,,
22,ABBV,AbbVie Inc.,NYQ,Drug Manufacturers - Major,USA,,
23,MT,ArcelorMittal,NYQ,Steel & Iron,USA,,
24,LLY,Eli Lilly and Company,NYQ,Drug Manufacturers - Major,USA,,
25,AGN,Allergan plc,NYQ,Drugs - Generic,USA,,
26,APA,Apache Corporation,NYQ,Independent Oil & Gas,USA,,
27,ADP,"Automatic Data Processing, Inc.",NMS,Business Software & Services,USA,,
28,APC,Anadarko Petroleum Corporation,NYQ,Independent Oil & Gas,USA,,
29,AKAM,"Akamai Technologies, Inc.",NMS,Internet Information Providers,USA,,
30,NLY,"Annaly Capital Management, Inc.",NYQ,REIT - Diversified,USA,,
31,ABX,Barrick Gold Corporation,NYQ,Gold,USA,,
32,ATVI,"Activision Blizzard, Inc.",NMS,Multimedia & Graphics Software,USA,,
33,ADSK,"Autodesk, Inc.",NMS,Technical & System Software,USA,,
34,ADM,Archer-Daniels-Midland Company,NYQ,Farm Products,USA,,
35,WBA,"Walgreens Boots Alliance, Inc.",NMS,Drug Stores,USA,,
36,ARNA,"Arena Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
37,LUV,Southwest Airlines Co.,NYQ,Regional Airlines,USA,,
38,ACAD,ACADIA Pharmaceuticals Inc.,NMS,Biotechnology,USA,,
39,PANW,"Palo Alto Networks, Inc.",NYQ,Networking & Communication Devices,USA,,
40,AMD,"Advanced Micro Devices, Inc.",NCM,Semiconductor - Broad Line,USA,,
41,AET,Aetna Inc.,NYQ,Health Care Plans,USA,,
42,AEP,"American Electric Power Company, Inc.",NYQ,Electric Utilities,USA,,
43,ALXN,"Alexion Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
44,CLMS,Calamos Asset Management Inc.,NMS,,USA,,
45,AVGO,Broadcom Limited,NMS,Semiconductor - Broad Line,USA,,
46,EA,Electronic Arts Inc.,NMS,Multimedia & Graphics Software,USA,,
47,DB,Deutsche Bank Aktiengesellschaft,NYQ,Foreign Regional Banks,USA,,
48,RAI,Reynolds American Inc.,NYQ,,USA,,
49,AEM,Agnico Eagle Mines Limited,NYQ,Gold,USA,,
50,APD,"Air Products and Chemicals, Inc.",NYQ,Chemicals - Major Diversified,USA,,
51,AMBA,"Ambarella, Inc.",NMS,Semiconductor Equipment & Materials,USA,,
52,NVS,Novartis AG,NYQ,Drug Manufacturers - Major,USA,,
53,APOL,"Apollo Education Group, Inc.",NMS,,USA,,
54,ANF,Abercrombie & Fitch Co.,NYQ,Apparel Stores,USA,,
55,LULU,Lululemon Athletica Inc.,NMS,Textile - Apparel Clothing,USA,,
56,RAD,Rite Aid Corporation,NYQ,Drug Stores,USA,,
57,ARRY,Array BioPharma Inc.,NGM,Biotechnology,USA,,
58,AGNC,AGNC Investment Corp.,NMS,REIT - Residential,USA,,
59,JBLU,JetBlue Airways Corporation,NMS,Regional Airlines,USA,,
60,A,"Agilent Technologies, Inc.",NYQ,Medical Laboratories & Research,USA,,
61,ORLY,"O'Reilly Automotive, Inc.",NMS,Auto Parts Stores,USA,,
62,FOLD,"Amicus Therapeutics, Inc.",NGM,Biotechnology,USA,,
63,AZO,"AutoZone, Inc.",NYQ,Auto Parts Stores,USA,,
64,ATML,Atmel Corporation,NMS,,USA,,
65,AN,"AutoNation, Inc.",NYQ,Auto Dealerships,USA,,
66,AZN,AstraZeneca PLC,NYQ,Drug Manufacturers - Major,USA,,
67,AES,The AES Corporation,NYQ,Electric Utilities,USA,,
68,GAS,AGL Resources Inc.,NYQ,,USA,,
69,BUD,Anheuser-Busch InBev SA/NV,NYQ,Beverages - Brewers,USA,,
70,ARR,"ARMOUR Residential REIT, Inc.",NYQ,REIT - Residential,USA,,
71,BDX,"Becton, Dickinson and Company",NYQ,Medical Instruments & Supplies,USA,,
72,AKS,AK Steel Holding Corporation,NYQ,Steel & Iron,USA,,
73,AB,AllianceBernstein Holding L.P.,NYQ,Asset Management,USA,,
74,ACOR,"Acorda Therapeutics, Inc.",NMS,Biotechnology,USA,,
75,CS,Credit Suisse Group AG,NYQ,Foreign Money Center Banks,USA,,
76,AFL,Aflac Incorporated,NYQ,Accident & Health Insurance,USA,,
77,ADI,"Analog Devices, Inc.",NMS,Semiconductor - Integrated Circuits,USA,,
78,AEGR,"Aegerion Pharmaceuticals, Inc.",NMS,,USA,,
79,ACIW,"ACI Worldwide, Inc.",NMS,Technical & System Software,USA,,
80,AMP,"Ameriprise Financial, Inc.",NYQ,Asset Management,USA,,
81,AVP,"Avon Products, Inc.",NYQ,Personal Products,USA,,
82,AMTD,TD Ameritrade Holding Corporation,NMS,Investment Brokerage - National,USA,,
83,AEO,"American Eagle Outfitters, Inc.",NYQ,Apparel Stores,USA,,
84,AWK,"American Water Works Company, Inc.",NYQ,Water Utilities,USA,,
85,NVO,Novo Nordisk A/S,NYQ,Drug Manufacturers - Other,USA,,
86,ALTR,Altera Corp.,NMS,,USA,,
87,ALK,"Alaska Air Group, Inc.",NYQ,Regional Airlines,USA,,
88,PAA,"Plains All American Pipeline, L.P.",NYQ,Oil & Gas Pipelines,USA,,
89,ARCC,Ares Capital Corporation,NMS,,USA,,
90,AAP,"Advance Auto Parts, Inc.",NYQ,Auto Parts Stores,USA,,
91,NAT,Nordic American Tankers Limited,NYQ,Shipping,USA,,
92,FNMA,Federal National Mortgage Association,PNK,Mortgage Investment,USA,,
93,FAV,First Trust Dividend and Income Fund,NYQ,,USA,,
94,AIV,Apartment Investment and Management Company,NYQ,REIT - Residential,USA,,
95,AGIO,"Agios Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
96,AEE,Ameren Corporation,NYQ,Electric Utilities,USA,,
97,UBS,UBS Group AG,NYQ,Foreign Money Center Banks,USA,,
98,AVXL,Anavex Life Sciences Corp.,NCM,Biotechnology,USA,,
99,ARLP,"Alliance Resource Partners, L.P.",NMS,Industrial Metals & Minerals,USA,,
100,ANTM,"Anthem, Inc.",NYQ,Health Care Plans,USA,,
101,AGU,Agrium Inc.,NYQ,Agricultural Chemicals,USA,,
102,AG,First Majestic Silver Corp.,NYQ,Silver,USA,,
103,AFSI,"AmTrust Financial Services, Inc.",NMS,Property & Casualty Insurance,USA,,
104,ABC,AmerisourceBergen Corporation,NYQ,Drugs Wholesale,USA,,
105,STO,Statoil ASA,NYQ,Major Integrated Oil & Gas,USA,,
106,ATI,Allegheny Technologies Incorporated,NYQ,Metal Fabrication,USA,,
107,ADT,The ADT Corporation,NYQ,,USA,,
108,AVB,"AvalonBay Communities, Inc.",NYQ,REIT - Residential,USA,,
109,ATW,"Atwood Oceanics, Inc.",NYQ,Oil & Gas Drilling & Exploration,USA,,
110,ALNY,"Alnylam Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
111,LH,Laboratory Corporation of America Holdings,NYQ,Medical Laboratories & Research,USA,,
112,AVY,Avery Dennison Corporation,NYQ,Business Equipment,USA,,
113,AUY,Yamana Gold Inc.,NYQ,Gold,USA,,
114,ASH,Ashland Global Holdings Inc.,NYQ,Chemicals - Major Diversified,USA,,
115,ARMH,ARM Holdings plc,NMS,,USA,,
116,ARIA,"ARIAD Pharmaceuticals, Inc.",NMS,,USA,,
117,ANR,"Alpha Natural Resources, Inc.",NYQ,,USA,,
118,AINV,Apollo Investment Corporation,NMS,,USA,,
119,ACXM,Acxiom Corporation,NMS,Information Technology Services,USA,,
120,ACHN,"Achillion Pharmaceuticals, Inc.",NMS,Biotechnology,USA,,
121,ACET,Aceto Corporation,NMS,Chemicals - Major Diversified,USA,,
122,ABMD,"ABIOMED, Inc.",NMS,Medical Appliances & Equipment,USA,,
123,ABM,ABM Industries Incorporated,NYQ,Business Services,USA,,
124,VA,Virgin America Inc.,NMS,,USA,,
125,LIFE,"aTyr Pharma, Inc.",NMS,Biotechnology,USA,,
126,ATO,Atmos Energy Corporation,NYQ,Gas Utilities,USA,,
127,ARP,"Atlas Resource Partners, L.P.",NYQ,,USA,,
128,AON,Aon plc,NYQ,Insurance Brokers,USA,,
129,ADXS,"Advaxis, Inc.",NMS,Biotechnology,USA,,
130,ADC,Agree Realty Corporation,NYQ,Property Management,USA,,
131,APU,"AmeriGas Partners, L.P.",NYQ,Gas Utilities,USA,,
132,SAVE,"Spirit Airlines, Inc.",NMS,Major Airlines,USA,,
133,AV,Aviva plc,NYQ,,USA,,
134,AKRX,"Akorn, Inc.",NMS,Drugs - Generic,USA,,
135,ADS,Alliance Data Systems Corporation,NYQ,Business Services,USA,,
136,ABAX,"Abaxis, Inc.",NMS,Medical Laboratories & Research,USA,,
137,AYI,"Acuity Brands, Inc.",NYQ,Diversified Electronics,USA,,
138,AWH,"Allied World Assurance Company Holdings, AG",NYQ,,USA,,
139,ASML,ASML Holding N.V.,NMS,,USA,,
140,AMT,American Tower Corporation,NYQ,REIT - Diversified,USA,,
141,ALDR,"Alder Biopharmaceuticals, Inc.",NGM,Biotechnology,USA,,
142,ACM,AECOM,NYQ,Technical Services,USA,,
143,DWA,DreamWorks Animation SKG Inc.,NMS,,USA,,
144,ATRS,"Antares Pharma, Inc.",NCM,Medical Instruments & Supplies,USA,,
145,ARW,"Arrow Electronics, Inc.",NYQ,Electronics Wholesale,USA,,
146,ARI,"Apollo Commercial Real Estate Finance, Inc.",NYQ,REIT - Diversified,USA,,
147,ARG,"Airgas, Inc.",NYQ,,USA,,
148,AR,Antero Resources Corporation,NYQ,Oil & Gas Drilling & Exploration,USA,,
149,AMCC,Applied Micro Circuits Corporation,NMS,,USA,,
150,AMC,"AMC Entertainment Holdings, Inc.",NYQ,"Movie Production, Theaters",USA,,
151,AL,Air Lease Corporation,NYQ,Rental & Leasing Services,USA,,
152,AGEN,Agenus Inc.,NCM,Biotechnology,USA,,
153,AAN,"Aaron's, Inc.",NYQ,Rental & Leasing Services,USA,,
154,WTR,"Aqua America, Inc.",NYQ,Water Utilities,USA,,
155,FCAU,Fiat Chrysler Automobiles N.V.,NYQ,,USA,,
156,BAH,Booz Allen Hamilton Holding Corporation,NYQ,Management Services,USA,,
157,AXAS,Abraxas Petroleum Corporation,NCM,Independent Oil & Gas,USA,,
158,AVT,"Avnet, Inc.",NYQ,Electronics Wholesale,USA,,
159,ALB,Albemarle Corporation,NYQ,Specialty Chemicals,USA,,
160,AIZ,"Assurant, Inc.",NYQ,Accident & Health Insurance,USA,,
161,SAIC,Science Applications International Corporation,NYQ,Information Technology Services,USA,,
162,CAR,"Avis Budget Group, Inc.",NMS,Rental & Leasing Services,USA,,
163,AXLL,Axiall Corporation,NYQ,,USA,,
164,AU,AngloGold Ashanti Limited,NYQ,Gold,USA,,
165,ARO,"Aéropostale, Inc.",NYQ,,USA,,
166,APH,Amphenol Corporation,NYQ,Diversified Electronics,USA,,
167,ANTH,"Anthera Pharmaceuticals, Inc.",NGM,Biotechnology,USA,,
168,AMX,"América Móvil, S.A.B. de C.V.",NYQ,Wireless Communications,USA,,
169,AMDA,Amedica Corporation,NCM,Medical Appliances & Equipment,USA,,
170,AI,Arlington Asset Investment Corp.,NYQ,Mortgage Investment,USA,,
171,ABCO,The Advisory Board Company,NMS,Business Services,USA,,
172,WMC,Western Asset Mortgage Capital Corporation,NYQ,Mortgage Investment,USA,,
173,JKHY,"Jack Henry & Associates, Inc.",NMS,Business Software & Services,USA,,
174,AVAV,"AeroVironment, Inc.",NMS,Aerospace/Defense Products & Services,USA,,
175,AMKR,"Amkor Technology, Inc.",NMS,Semiconductor - Integrated Circuits,USA,,
176,ALJ,"Alon USA Energy, Inc.",NYQ,,USA,,
177,ACH,Aluminum Corporation Of China Limited,NYQ,Aluminum,USA,,
178,ERC,Wells Fargo Advantage Multi-Sector Income Fund,ASE,,USA,,
179,APPY,"Bioptix, Inc.",NCM,,USA,,
180,ANAC,"Anacor Pharmaceuticals, Inc.",NMS,,USA,,
